trade_id,trading_symbol,signal,entry_time,exit_time,entry_price,exit_price,hedge_entry_price,hedge_exit_price,trade_points,qty,pnl,tax,net_pnl
MP138,NIFTY 19750,Long,2023-10-13 13:06:00,2023-10-09 14:04:00,94.42,80.0,0.0,0.0,-14.42,1300,-18742.5,177.36,-18919.86
MP139,NIFTY 19750,Long,2023-10-16 10:15:00,2023-10-10 11:44:00,83.78,67.0,0.0,0.0,-16.78,1100,-18452.5,139.6,-18592.1
MP142,NIFTY 19800,Long,2023-10-17 14:19:00,2023-10-11 15:05:00,75.65,55.0,0.0,0.0,-20.65,1100,-22715.0,123.28,-22838.28
MP143,FINNIFTY 19800,Long,2023-10-18 10:42:00,2023-10-12 10:46:00,127.27,102.69,0.0,0.0,-24.58,960,-23592.0,170.76,-23762.76
MP144,BANKNIFTY 44200,Long,2023-10-18 10:43:00,2023-10-12 11:17:00,94.14,297.52,0.0,0.0,203.37,285,57961.5,223.58,57737.92
MP145,FINNIFTY 19600,Long,2023-10-19 11:25:00,2023-10-13 11:28:00,79.25,55.71,0.0,0.0,-23.53,920,-21650.0,111.72,-21761.72
MP146,NIFTY 19600,Long,2023-10-19 11:26:00,2023-10-13 13:43:00,15.9,2.0,0.0,0.0,-13.9,900,-12510.0,49.82,-12559.82
MP147,FINNIFTY 19600,Long,2023-10-20 12:23:00,2023-10-14 13:17:00,66.18,59.11,0.0,0.0,-7.08,1560,-11040.0,162.43,-11202.43
MP148,BANKNIFTY 43800,Long,2023-10-20 13:22:00,2023-10-14 13:57:00,251.08,272.0,0.0,0.0,20.92,585,12240.0,260.42,11979.58
MP149,NIFTY 19500,Long,2023-10-23 10:16:00,2023-10-15 11:57:00,103.38,105.0,0.0,0.0,1.62,1350,2187.5,226.51,1960.99
MP150,BANKNIFTY 43600,Long,2023-10-23 10:16:00,2023-10-15 15:03:00,209.28,585.98,0.0,0.0,376.7,480,180816.75,618.31,180198.44
MP151,NIFTY 19250,Long,2023-10-25 11:24:00,2023-10-16 11:57:00,66.15,68.0,0.0,0.0,1.85,1050,1942.5,138.55,1803.95
MP152,FINNIFTY 19400,Long,2023-10-25 11:27:00,2023-10-16 11:57:00,150.23,140.0,0.0,0.0,-10.23,1040,-10642.0,228.96,-10870.96
MP153,NIFTY 18900,Long,2023-10-26 10:20:00,2023-10-17 14:15:00,27.82,4.0,0.0,0.0,-23.82,1000,-23815.0,52.9,-23867.9
MP155,BANKNIFTY 42700,Long,2023-10-27 11:23:00,2023-10-18 13:33:00,210.35,233.25,0.0,0.0,22.9,645,14771.25,252.7,14518.55
MP156,FINNIFTY 19150,Long,2023-10-27 11:24:00,2023-10-18 13:16:00,93.9,102.15,0.0,0.0,8.25,1720,14188.0,283.47,13904.53
MP157,FINNIFTY23OCT19150PE,Long,2023-10-30 10:31:00,2023-10-30 10:46:00,73.53,72.7,0.0,0.0,-0.83,1360,-1128.8,170.45,-1299.25
MP158,NIFTY23N021100PE,Long,2023-10-30 10:48:00,2023-10-30 11:31:00,93.73,76.41,0.0,0.0,-17.32,1350,-23382.0,176.45,-23558.45
MP160,NIFTY23N0219100PE,Long,2023-10-31 10:23:00,2023-10-31 11:23:00,86.99,68.1,0.0,0.0,-18.89,1150,-21723.5,145.45,-21868.95
MP161,FINNIFTY23N0719100PE,Long,2023-11-01 11:15:00,2023-11-01 12:27:00,107.99,83.89,0.0,0.0,-24.1,1160,-27956.0,144.14,-28100.14
MP163,NIFTY23N0219100PE,Long,2023-11-02 11:37:00,2023-11-02 14:52:00,24.6,2.0,0.0,0.0,-22.6,950,-21470.0,595.03,-22065.03
MP164,BANKNIFTY23N0843000PE,Long,2023-11-02 11:42:00,2023-11-02 14:16:00,283.93,246.0,0.0,0.0,-37.93,270,-10241.1,50.16,-10291.26
MP165,NIFTY23N0919250CE,Long,2023-11-03 10:58:00,2023-11-03 14:40:00,110.48,95.35,0.0,0.0,-15.13,1700,-25721.0,249.97,-25970.97
MP166,BANKNIFTY23N0843400CE,Long,2023-11-03 10:58:00,2023-11-03 11:19:00,243.59,202.08,0.0,0.0,-41.51,645,-26773.95,210.43,-26984.38
MP167,NIFTY23N0919350PE,Long,2023-11-06 10:15:00,2023-11-06 11:45:00,60.25,60.0,0.0,0.0,-0.25,1300,-325.0,117.53,-442.53
MP168,FINNIFTY23N0719450PE,Long,2023-11-06 10:51:00,2023-11-06 13:16:00,50.75,43.0,0.0,0.0,-7.75,1280,-9920.0,157.35,-10077.35
MP169,FINNIFTY23N0719400CE,Long,2023-11-07 11:41:00,2023-11-07 14:25:00,25.31,110.0,0.0,0.0,84.69,1080,91460.0,306.83,91153.17
MP170,BANKNIFTY23N0843400CE,Long,2023-11-07 11:44:00,2023-11-07 15:10:00,139.15,344.44,0.0,0.0,205.29,360,73904.4,291.89,73612.51
MP171,FINNIFTY23N1319500CE,Long,2023-11-08 10:19:00,2023-11-08 14:32:00,115.87,103.83,0.0,0.0,-12.04,1000,-12040.0,176.95,-12216.95
MP172,BANKNIFTY23N0843600CE,Long,2023-11-08 11:03:00,2023-11-08 15:15:00,62.46,60.3,0.0,0.0,-2.16,300,-648.75,69.76,-718.51
MP173,FINNIFTY23N1319550CE,Long,2023-11-09 10:17:00,2023-11-09 12:48:00,84.11,72.57,0.0,0.0,-11.54,960,-11076.0,134.35,-11210.35
MP174,BANKNIFTY23N1543700CE,Long,2023-11-09 10:19:00,2023-11-09 12:48:00,318.43,319.2,0.0,0.0,0.76,270,206.25,154.85,51.4
MP176,FINNIFTY23N1319500CE,Long,2023-11-10 10:19:00,2023-11-10 11:02:00,55.9,71.61,0.0,0.0,15.71,1640,25768.0,224.99,25543.01
MP177,FINNIFTY23N1319550CE,Long,2023-11-13 10:19:00,2023-11-13 11:48:00,16.53,38.0,0.0,0.0,21.47,1360,29198.0,147.22,29050.78
MP178,BANKNIFTY23N1543700CE,Long,2023-11-13 10:19:00,2023-11-13 15:02:00,200.64,251.43,0.0,0.0,50.8,480,24382.5,227.35,24155.15
MP179,BANKNIFTY23N1544200CE,Long,2023-11-15 10:57:00,2023-11-15 15:11:00,44.55,2.0,0.0,0.0,-42.55,315,-13403.25,48.39,-13451.64
MP180,NIFTY23N1619650PE,Long,2023-11-15 13:14:00,2023-11-15 15:13:00,38.81,30.81,0.0,0.0,-8.0,1050,-8400.0,87.77,-8487.77
MP182,FINNIFTY23N2119750PE,Long,2023-11-16 10:39:00,2023-11-16 11:13:00,83.64,61.0,0.0,0.0,-22.64,1000,-22640.0,123.9,-22763.9
MP183,BANKNIFTY23N2243600CE,Long,2023-11-17 10:16:00,2023-11-17 11:15:00,287.02,325.1,0.0,0.0,38.08,630,23989.5,331.7,23657.8
MP184,BANKNIFTY23N2243600CE,Long,2023-11-20 10:20:00,2023-11-20 11:05:00,271.17,272.01,0.0,0.0,0.83,525,438.0,225.69,212.31
MP185,FINNIFTY23N2119550CE,Long,2023-11-20 10:21:00,2023-11-20 11:05:00,88.16,78.41,0.0,0.0,-9.75,1440,-14036.0,188.33,-14224.33
MP186,FINNIFTY23N2119650CE,Long,2023-11-21 11:34:00,2023-11-21 14:29:00,11.07,2.0,0.0,0.0,-9.07,1280,-11606.0,50.74,-11656.74
MP187,NIFTY23N2319800CE,Long,2023-11-21 12:14:00,2023-11-21 12:34:00,73.91,86.5,0.0,0.0,12.59,1250,15742.5,201.15,15541.35
MP188,BANKNIFTY23N2243500CE,Long,2023-11-22 11:14:00,2023-11-22 15:03:00,72.61,2.0,0.0,0.0,-70.61,330,-23302.5,48.72,-23351.22
MP189,FINNIFTY23NOV19550CE,Long,2023-11-22 11:46:00,2023-11-22 12:20:00,119.54,95.87,0.0,0.0,-23.67,1080,-25566.0,176.99,-25742.99
MP190,NIFTY23N2319800CE,Long,2023-11-23 10:18:00,2023-11-23 11:43:00,40.76,16.68,0.0,0.0,-24.08,1000,-24080.0,68.71,-24148.71
MP191,BANKNIFTY23NOV43600CE,Long,2023-11-23 14:00:00,2023-11-23 15:16:00,329.95,286.56,0.0,0.0,-43.39,285,-12366.9,149.35,-12516.25
MP193,FINNIFTY23NOV19650CE,Long,2023-11-24 10:42:00,2023-11-24 12:06:00,55.42,49.26,0.0,0.0,-6.16,1680,-10356.0,150.63,-10506.63
MP194,NIFTY23NOV19800CE,Long,2023-11-28 10:18:00,2023-11-28 14:51:00,86.5,140.0,0.0,0.0,53.5,1200,64200.0,334.88,63865.12
MP195,BANKNIFTY23NOV43900CE,Long,2023-11-28 12:26:00,2023-11-28 13:38:00,164.49,165.01,0.0,0.0,0.52,390,201.0,127.64,73.36
MP196,NIFTY23NOV20000CE,Long,2023-11-29 10:15:00,2023-11-29 15:14:00,80.39,145.65,0.0,0.0,65.26,1100,71785.0,334.43,71450.57
MP197,FINNIFTY23D0519850CE,Long,2023-11-29 11:12:00,2023-11-29 15:14:00,118.73,267.16,0.0,0.0,148.43,1080,160306.8,602.34,159704.46
MP198,BANKNIFTY23NOV44300CE,Long,2023-11-30 10:29:00,2023-11-30 12:23:00,84.03,47.0,0.0,0.0,-37.03,315,-11663.25,66.0,-11729.25
MP199,FINNIFTY23D0519900CE,Long,2023-11-30 10:29:00,2023-11-30 11:27:00,154.08,153.3,0.0,0.0,-0.78,1160,-904.0,268.83,-1172.83
MP200,NIFTY23D0720250PE,Long,2023-12-01 10:27:00,2023-12-01 14:05:00,101.5,87.6,0.0,0.0,-14.2,1900,-26565.0,255.42,-27235.42
MP201,FINNIFTY23D0520200PE,Long,2023-12-01 10:34:00,2023-12-01 11:26:00,105.99,99.25,0.0,0.0,-6.51,1880,-12680.0,280.33,-12519.13
MP202,BANKNIFTY23D0645800PE,Long,2023-12-04 12:16:00,2023-12-04 12:59:00,192.06,143.04,0.0,0.0,-49.02,555,-27206.25,146.95,-27353.2
MP203,FINNIFTY23D0520650PE,Long,2023-12-04 12:44:00,2023-12-04 13:42:00,62.98,46.0,0.0,0.0,-16.98,1560,-26482.0,137.42,-26619.42
MP205,NIFTY23D0720800PE,Long,2023-12-05 10:17:00,2023-12-05 11:57:00,89.8,111.56,0.0,0.0,21.76,1300,28285.0,262.43,28022.57
MP206,BANKNIFTY23D0646800CE,Long,2023-12-06 10:28:00,2023-12-06 12:27:00,82.61,83.0,0.0,0.0,0.39,345,135.75,83.05,52.7
MP207,FINNIFTY23D1221000CE,Long,2023-12-06 10:29:00,2023-12-06 12:27:00,169.7,182.2,0.0,0.0,12.5,1120,14002.0,318.59,13683.41
MP208,FINNIFTY23D1221000CE,Long,2023-12-07 10:42:00,2023-12-07 11:20:00,141.85,165.93,0.0,0.0,24.08,1080,26008.0,302.26,25705.74
MP209,BANKNIFTY23D1346800CE,Long,2023-12-07 10:56:00,2023-12-07 15:13:00,392.81,388.12,0.0,0.0,-4.69,300,-1407.75,192.34,-1600.09
MP210,FINNIFTY23D1221150CE,Long,2023-12-08 10:30:00,2023-12-08 10:43:00,108.22,102.29,0.0,0.0,-5.93,1880,-11148.4,287.18,-11435.58
MP211,BANKNIFTY23D1347100CE,Long,2023-12-08 10:30:00,2023-12-08 10:34:00,359.54,314.52,0.0,0.0,-45.02,705,-31736.25,324.48,-32060.73
MP212,BANKNIFTY23D1347500CE,Long,2023-12-11 10:16:00,2023-12-11 10:39:00,284.03,285.0,0.0,0.0,0.97,555,536.25,244.97,291.28
MP213,FINNIFTY23D1221300CE,Long,2023-12-11 10:23:00,2023-12-11 10:36:00,76.13,77.22,0.0,0.0,1.09,1520,1658.0,195.49,1462.51
MP215,NIFTY23D1421000CE,Long,2023-12-12 10:16:00,2023-12-12 12:52:00,98.83,78.2,0.0,0.0,-20.62,1300,-26812.5,174.69,-26987.19
MP216,NIFTY23D1420800CE,Long,2023-12-13 10:25:00,2023-12-13 11:32:00,90.4,91.37,0.0,0.0,0.97,1150,1115.0,179.5,935.5
MP218,NIFTY23D2121350CE,Long,2023-12-15 10:20:00,2023-12-15 10:34:00,123.6,116.78,0.0,0.0,-6.83,1800,-12285.0,309.52,-12594.52
MP219,FINNIFTY23D1921400CE,Long,2023-12-15 10:47:00,2023-12-15 10:54:00,105.31,91.08,0.0,0.0,-14.23,1800,-25614.0,252.28,-25866.28
MP220,FINNIFTY23D1921500CE,Long,2023-12-18 10:25:00,2023-12-18 10:38:00,84.01,75.64,0.0,0.0,-8.37,1480,-12382.0,187.08,-12569.08
MP221,NIFTY23D2121450CE,Long,2023-12-18 10:29:00,2023-12-18 10:38:00,126.92,110.0,0.0,0.0,-16.92,1500,-25375.0,253.58,-25628.58
MP222,BANKNIFTY23D2048000PE,Long,2023-12-19 13:52:00,2023-12-19 15:13:00,131.86,196.19,0.0,0.0,64.33,405,26054.25,178.01,25876.24
MP223,NIFTY23D2121500PE,Long,2023-12-19 14:07:00,2023-12-19 15:13:00,69.42,89.63,0.0,0.0,20.21,1250,25265.0,217.65,25047.35
MP224,BANKNIFTY23D2048000CE,Long,2023-12-20 10:31:00,2023-12-20 14:39:00,47.33,2.0,0.0,0.0,-45.33,345,-15640.5,48.53,-15689.03
MP225,FINNIFTY23DEC21450CE,Long,2023-12-20 11:19:00,2023-12-20 13:09:00,164.27,152.23,0.0,0.0,-12.04,1120,-13486.0,260.08,-13746.08
MP226,FINNIFTY23DEC21150CE,Long,2023-12-21 10:19:00,2023-12-21 10:30:00,135.72,109.98,0.0,0.0,-25.74,1040,-26768.0,190.55,-26958.55
MP227,NIFTY23D2121150PE,Long,2023-12-21 10:19:00,2023-12-21 10:36:00,57.16,82.44,0.0,0.0,25.28,1050,26547.5,187.46,26360.04
MP228,NIFTY23DEC21350CE,Long,2023-12-22 10:30:00,2023-12-22 10:34:00,184.82,177.48,0.0,0.0,-7.33,1750,-12835.0,434.64,-13269.64
MP229,BANKNIFTY23DEC48000CE,Long,2023-12-22 10:56:00,2023-12-22 11:06:00,434.59,491.56,0.0,0.0,56.96,660,37596.75,497.36,37099.39
MP230,BANKNIFTY23DEC47600CE,Long,2023-12-26 10:23:00,2023-12-26 11:02:00,378.22,377.67,0.0,0.0,-0.54,405,-219.75,237.82,-457.57
MP231,NIFTY23DEC21450CE,Long,2023-12-26 10:23:00,2023-12-26 10:48:00,122.0,132.69,0.0,0.0,10.69,1250,13360.0,270.19,13089.81
MP234,NIFTY23DEC21750CE,Long,2023-12-28 12:28:00,2023-12-28 12:51:00,56.22,32.57,0.0,0.0,-23.65,1050,-24827.5,90.57,-24918.07
MP235,FINNIFTY2410221500CE,Long,2023-12-28 14:15:00,2023-12-28 14:49:00,174.58,161.69,0.0,0.0,-12.89,1080,-13924.0,265.23,-14189.23
MP236,FINNIFTY2410221450PE,Long,2023-12-29 10:16:00,2023-12-29 10:24:00,109.35,95.2,0.0,0.0,-14.15,1840,-26496.0,406.93,-26902.93
MP237,BANKNIFTY2410348200CE,Long,2023-12-29 10:29:00,2023-12-29 10:54:00,412.36,412.45,0.0,0.0,0.09,690,62.25,401.93,-339.68
MP238,FINNIFTY2410221500CE,Long,2024-01-01 10:38:00,2024-01-01 11:18:00,69.1,70.14,0.0,0.0,1.04,1480,1534.0,178.43,1355.57
MP239,BANKNIFTY2410348300CE,Long,2024-01-01 10:41:00,2024-01-01 15:01:00,327.08,378.0,0.0,0.0,50.92,540,27497.25,335.12,27162.13
MP240,NIFTY2410421600CE,Long,2024-01-02 10:25:00,2024-01-02 10:37:00,127.07,108.01,0.0,0.0,-19.06,1300,-24772.5,222.93,-24995.43
MP241,BANKNIFTY2410347900CE,Long,2024-01-02 10:27:00,2024-01-02 11:42:00,229.12,162.64,0.0,0.0,-66.48,420,-27923.25,133.16,-28056.41
MP242,NIFTY2410421550CE,Long,2024-01-03 10:21:00,2024-01-03 10:46:00,89.6,78.65,0.0,0.0,-10.96,1100,-12052.5,155.37,-12207.87
MP243,FINNIFTY2410921250CE,Long,2024-01-03 10:21:00,2024-01-03 12:06:00,164.86,164.94,0.0,0.0,0.08,1080,86.0,269.29,-183.29
MP244,NIFTY2410421650PE,Long,2024-01-04 10:15:00,2024-01-04 13:09:00,35.5,11.65,0.0,0.0,-23.85,1050,-25042.5,63.2,-25105.7
MP245,FINNIFTY2410921450PE,Long,2024-01-04 10:21:00,2024-01-04 11:03:00,123.64,111.53,0.0,0.0,-12.11,1080,-13080.0,197.7,-13277.7
MP246,BANKNIFTY2411048200PE,Long,2024-01-05 10:41:00,2024-01-05 11:09:00,263.25,303.52,0.0,0.0,40.27,660,26577.0,329.26,26247.74
MP247,FINNIFTY2410921500PE,Long,2024-01-05 10:44:00,2024-01-05 11:12:00,94.12,101.0,0.0,0.0,6.88,1760,12116.0,283.5,11832.5
MP248,BANKNIFTY2411047900PE,Long,2024-01-08 10:20:00,2024-01-08 10:31:00,220.01,169.8,0.0,0.0,-50.21,540,-27114.75,162.28,-27277.03
MP249,FINNIFTY2410921550PE,Long,2024-01-08 10:37:00,2024-01-08 11:18:00,65.04,110.4,0.0,0.0,45.35,1480,67124.0,332.7,66791.3
MP250,FINNIFTY2410921400PE,Long,2024-01-09 10:19:00,2024-01-09 14:23:00,25.45,183.9,0.0,0.0,158.45,520,82394.0,266.89,82127.11
MP251,NIFTY2411121700PE,Long,2024-01-09 10:20:00,2024-01-09 12:39:00,87.7,67.7,0.0,0.0,-20.0,500,-10000.0,89.68,-10089.68
MP252,BANKNIFTY2411047300PE,Long,2024-01-10 10:16:00,2024-01-10 12:48:00,86.25,87.7,0.0,0.0,1.45,150,217.5,63.86,153.64
MP253,FINNIFTY2411621250PE,Long,2024-01-10 10:16:00,2024-01-10 11:15:00,144.06,155.89,0.0,0.0,11.83,520,6152.0,155.73,5996.27
MP254,NIFTY2411121650PE,Long,2024-01-11 10:32:00,2024-01-11 14:27:00,27.23,28.05,0.0,0.0,0.82,1050,862.5,84.96,777.54
MP255,FINNIFTY2411621250PE,Long,2024-01-11 10:32:00,2024-01-11 12:45:00,108.54,84.34,0.0,0.0,-24.2,1080,-26136.0,161.49,-26297.49
MP256,BANKNIFTY2411747600PE,Long,2024-01-12 10:16:00,2024-01-12 11:00:00,266.97,227.77,0.0,0.0,-39.2,690,-27047.25,243.86,-27291.11
MP257,NIFTY2411821800PE,Long,2024-01-12 10:27:00,2024-01-12 12:54:00,117.37,103.22,0.0,0.0,-14.15,1800,-25477.5,279.49,-25756.99
MP258,FINNIFTY2411621450PE,Long,2024-01-15 12:17:00,2024-01-15 13:18:00,78.49,61.58,0.0,0.0,-16.91,1520,-25706.0,164.61,-25870.61
MP259,BANKNIFTY2411748100PE,Long,2024-01-15 12:20:00,2024-01-15 14:47:00,246.38,247.31,0.0,0.0,0.93,555,517.5,218.88,298.62
MP260,BANKNIFTY2411748300PE,Long,2024-01-16 10:34:00,2024-01-16 11:59:00,205.12,204.6,0.0,0.0,-0.52,420,-217.5,154.29,-371.79
MP261,FINNIFTY2411621500PE,Long,2024-01-16 10:35:00,2024-01-16 11:59:00,37.3,38.18,0.0,0.0,0.88,1280,1130.0,109.48,1020.52
MP262,BANKNIFTY2411746500CE,Long,2024-01-17 11:40:00,2024-01-17 12:47:00,135.28,56.0,0.0,0.0,-79.28,330,-26162.25,71.01,-26233.26
MP263,FINNIFTY2412320700CE,Long,2024-01-17 11:43:00,2024-01-17 13:13:00,224.46,213.53,0.0,0.0,-10.93,1120,-12242.0,345.59,-12587.59
MP264,FINNIFTY2412320400PE,Long,2024-01-18 10:43:00,2024-01-18 11:01:00,187.26,162.59,0.0,0.0,-24.67,1120,-27628.0,274.96,-27902.96
MP265,BANKNIFTY24JAN45900PE,Long,2024-01-18 10:46:00,2024-01-18 12:11:00,455.62,366.03,0.0,0.0,-89.59,300,-26877.0,184.85,-27061.85
MP266,BANKNIFTY24JAN46200CE,Long,2024-01-19 10:29:00,2024-01-19 10:52:00,486.09,465.1,0.0,0.0,-20.99,720,-15116.25,464.96,-15581.21
MP267,FINNIFTY2412320600PE,Long,2024-01-19 10:33:00,2024-01-19 11:11:00,142.79,196.09,0.0,0.0,53.3,1920,114780.0,86.65,114693.35
ET40,NIFTY23N1619600PE,Short,2023-11-16 09:20:00,2023-11-16 15:13:00,14.57,0.35,1.07,0.05,13.2,1750,23100.0,48.71,23051.29
ET49,NIFTY23NOV20050PE,Short,2023-11-30 09:20:00,2023-11-30 09:55:00,14.32,42.05,2.65,0.1,-30.28,2000,-60560.0,249.62,-60809.62
